company_name,source_title,source_level,source_type,source_url,source_date,last_checked,evidence_use,confidence,notes
1X Technologies,1X Technologies 产品库来源,B,官网新闻,https://www.1x.tech/discover/neo-home-robot,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
1X Technologies,1X Technologies 落地案例来源,B,案例资料,https://www.1x.tech/discover/neo-home-robot,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
ANYbotics,ANYbotics 产品库来源,B,官网产品页,https://www.anybotics.com/robotics/,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
ANYbotics,ANYbotics 落地案例来源,B,案例资料,https://www.anybotics.com/robotics/,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Agility Robotics,Agility Robotics 产品库来源,B,官网新闻,https://www.agilityrobotics.com/content/digit-deployed-at-gxo-in-historic-humanoid-raas-agreement,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Agility Robotics,Agility Robotics 落地案例来源,B,案例资料,https://www.agilityrobotics.com/content/digit-deployed-at-gxo-in-historic-humanoid-raas-agreement,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Amazon Robotics,Amazon Robotics 落地案例来源,A,案例资料,https://www.aboutamazon.com/news/operations/amazon-robotics-robots-fulfillment-center,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Apptronik,Apptronik 产品库来源,B,官网新闻,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Apptronik,Apptronik 落地案例来源,B,案例资料,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Boston Dynamics,Boston Dynamics 产品库来源,B,官网产品页,https://bostondynamics.com/products/atlas/,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
