company_name,country_or_region,category,main_products,target_scenarios,technology_route,financing_or_listing_status,disclosed_customers,deployment_status,source_level,source_type,source_url,source_date,last_checked,confidence,notes
智元机器人,中国,本体厂商,远征A系列；灵犀X系列；精灵G系列,工业制造；服务；科研；家庭,通用具身机器人；机器人数据系统；多形态本体,未上市；多轮融资,公开客户有限；黄晓明工作室为公开交付案例,L2小批量交付/公司披露规模量产,B,官网新闻,https://www.agibot.com.cn/article/188/detail/101.html,2025-12-12,2026-05-26,中,公司披露5000台下线；付费客户结构需继续核验
宇树科技,中国,本体厂商,G1；H1；R1；Go2；B2,科研教育；开发者；娱乐；工业巡检,低成本四足/人形本体；运动控制；SDK生态,未上市；公开报道IPO预期需核验,科研教育客户；公开零售用户,L2公开销售平台,B,官网介绍,https://www.unitree.com/en/about/,unknown,2026-05-26,高,产品和公开销售明确；商业场景深度需补充客户证据
优必选,中国/香港,上市公司,Walker S；Walker S1；Walker S2,汽车制造；3C；物流搬运；质检,工业人形；群体协作；BrainNet/ROSA,港股上市,客户名称部分未披露,L2小批量合同/工业试点,A,中期报告,https://owebsite-cdn.ubtrobot.com/resources/file/2025/09/16/720367161532485.pdf,2025-09-16,2026-05-26,高,2025中报披露Walker系列进入工业场景且签署小批量采购合同
银河通用,中国,本体厂商,Galbot G1；TrackVLA；GroceryVLA,零售；药店；制造；文旅,轮式双臂人形；端到端导航与货架抓取VLA,未上市；披露超12亿元融资,零售业态合作伙伴未完全披露,L1试点验证/公司计划扩张,C,媒体报道,https://cn.chinadaily.com.cn/a/202506/09/WS6846952da3102053770372d4.html,2025-06-09,2026-05-26,中,零售能力展示和融资信息来自媒体报道；需补充客户合同证据
逐际动力,中国,本体厂商/平台,LimX Oli；TRON1；FluxVLA；COSA,科研教育；导览；工业巡检；开发者平台,双足/轮足本体；强化学习平台；具身操作算法,未上市；2026披露B轮融资,博物馆导览等创新案例,L1试点/平台销售,B,官网,https://www.limxdynamics.com/en,2026-02-02,2026-05-26,中,官网披露产品矩阵和融资新闻；客户规模需核验
傅利叶智能,中国,本体厂商,GR-1；GR-2,康复医疗；科研；工业；服务,人形机器人；康复机器人积累；运动控制,未上市；多轮融资,康复医疗客户；机器人客户未完整披露,L2产品量产/公司自述,B,官方新闻稿,https://www.prnewswire.com/news-releases/fourier-unveils-the-next-generation-humanoid-robot-gr-2-302262068.html,2024-09-30,2026-05-26,中,GR系列量产和客户落地需补充一手证据
星尘智能/Astribot,中国,本体厂商,Astribot S1,服务；家庭；科研；商业展示,轮式双臂人形；DFAI软硬件一体,未上市,未披露,L0概念演示/产品展示,B,官网产品页,https://www.astribot.com/en/product/,unknown,2026-05-26,中,产品参数明确；真实客户部署未核验
众擎机器人/EngineAI,中国,本体厂商,SA01；SE01；PM01；T800,科研教育；商用展示；工业探索,人形本体；自然步态；开放平台,未上市,未披露,L1产品发布/早期销售,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,中,官网披露产品线；商业订单需核验
乐聚机器人,中国,本体厂商,KUAVO 4Pro；KUAVO 5；ROBAN,科研；商业服务；工业制造；训练场,开源人形平台；多场景训练方案,未上市,合肥等地方合作；客户细节需核验,L1试点/科研平台,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,中,官网披露应用方向；规模化交付需核验
达闼机器人,中国,本体厂商/云平台,XR-4；Cloud Ginger；HARIX OS,服务；政企；康养；教育,云端智能机器人；云脑/边云协同,未上市,政企/服务客户需逐项核验,L1试点/产品销售,B,官网,https://www.cloudminds.com/,unknown,2026-05-26,中,老牌服务机器人企业；需更新近年具身智能进展
帕西尼感知科技,中国,核心零部件/本体,多维触觉传感器；DexH13灵巧手；TORA-ONE,灵巧操作；工业；科研；服务,触觉传感；灵巧手；多模态感知,未上市,机器人厂商/科研客户未完整披露,L1部件销售/方案验证,B,官网介绍,https://paxini.com/kr/about,unknown,2026-05-26,中,更偏触觉和灵巧操作上游；需要客户证据
