case_name,company_name,customer_or_partner,scenario,location,deployment_scale,paid_status,ongoing_status,evidence_type,source_level,source_url,source_date,last_checked,confidence,notes
Digit在GXO/SPANX物流设施RaaS部署,Agility Robotics,GXO Logistics/SPANX,仓储物流搬运,美国佐治亚,多年度部署,是,持续运营/公司披露,官网新闻,B,https://www.agilityrobotics.com/content/digit-deployed-at-gxo-in-historic-humanoid-raas-agreement,2024-06-27,2026-05-26,高,公开证据较强的付费人形部署
Apollo进入Mercedes-Benz制造试点,Apptronik,Mercedes-Benz,汽车制造物流供料,Mercedes-Benz制造设施,试点规模未披露,unknown,试点,官网新闻,B,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,2024-03-15,2026-05-26,中,具名工业客户试点
Figure 02在BMW Spartanburg试验,Figure AI,BMW Group,汽车制造零件搬运,美国南卡Spartanburg,试验部署,unknown,阶段性试验,客户公告,A,https://www.bmwgroup.com/en/news/general/2024/humanoid-robots.html,2024-08-06,2026-05-26,中,BMW客户侧确认
Walker S系列工业场景小批量合同,优必选,客户未披露,工业搬运/分拣/质检,中国,小批量采购合同,是,商业应用初期,中期报告,A,https://owebsite-cdn.ubtrobot.com/resources/file/2025/09/16/720367161532485.pdf,2025-09-16,2026-05-26,高,上市公司文件披露
Galbot Shop上海机器人值守店,银河通用,Galbot Shop/上海陆家嘴商圈,无人零售/药店取货/商品抓取,中国上海,1个9平方米门店/计划扩张,unknown,单店运营/媒体披露,政府英文门户/媒体,C,https://english.shanghai.gov.cn/en-Latest-WhatsNew/20260123/fd37e5488dd24b928deac020f468effa.html,2026-01-23,2026-05-26,中,上海政府英文门户转载媒体来源披露单店运营和日订单能力
Pudu服务机器人全球部署,普渡机器人,酒店/餐饮/工业/零售客户,配送/清洁/工业物流/零售促销,全球,12万台以上出货/官网披露,是,持续运营,官网,B,https://www.pudurobotics.com/,2026-05-20,2026-05-26,高,成熟服务机器人样本 需按客户案例区分门店数量
Keenon服务机器人餐饮酒店部署,擎朗智能,E.Leclerc/Compose Coffee/QooQoo/Hilton/Sheraton等,配送/清洁/餐饮酒店服务/超市服务,全球,官网披露多个单店和多机器人客户故事,是,持续运营,官网,B,https://www.keenon.com/en/stories/index.html,unknown,2026-05-26,高,服务机器人落地明确 但总门店数量未统一披露
Pudu海底捞国内送餐机器人,普渡机器人,海底捞,餐饮门店送餐/后厨到桌边配送,中国深圳/中国大陆门店,官方案例披露深圳门店/历史媒体报道曾称200家海底捞 当前门店数需复核,是,持续运营/公司披露,官方案例/历史媒体报道,B,https://www.pudutech.com/zh-CN/case-studies/pudu-robotics-haidilao-restaurant-automation,unknown,2026-05-26,高,国内餐饮门店配送标杆 官方案例给效率提升但未披露当前门店总数 历史规模线索见来源索引
Pudu大家乐中国香港快餐门店,普渡机器人,大家乐集团/一粥面/Oliver's Super Sandwiches,快餐门店营销配送,中国香港,超100台,是,持续运营/公司披露,官方案例,B,https://www.pudutech.com/zh-CN/case-studies/cafecoral-kettybot-dining,unknown,2026-05-26,高,大中华区连锁餐饮门店多台部署
Keenon周师兄重庆火锅上海门店,擎朗智能,周师兄重庆火锅,餐饮送餐/配送,中国上海,11台/T5*10+T6*1,是,客户故事,官网案例,B,https://www.keenon.com/cn/stories/index.html,unknown,2026-05-26,高,官网客户故事披露具体机型数量
Keenon海底捞智慧餐厅,擎朗智能,海底捞,智慧餐厅配送/导引,中国北京,首家智慧餐厅/门店数未披露,unknown,已落地/公司历程,官网,B,https://www.keenon.com/cn/about/,unknown,2026-05-26,中,官网发展历程披露助力海底捞全球首家智慧餐厅
OrionStar智咖大师国内门店,猎户星空,咪咕咖啡/深圳文和友/北京大悦春风里/知嘛健康等,咖啡制饮/商场零售互动,中国多地,超百家客户/6个月,是,持续运营/公司披露,官方案例,B,https://www.orionstar.com/xyal/96.html,2021-04-16,2026-05-26,中,覆盖咖啡馆饮品店商场机场等
Yunji锦江F1数字酒店,云迹科技,锦江酒店中国区,酒店门店送物/清扫/智能前台,中国,4个门店案例,是,客户证言/媒体发布,媒体报道,C,https://finance.sina.cn/2026-05-19/detail-inhymqcm7514263.d.html,2026-05-19,2026-05-26,中,酒店泛零售服务门店非狭义零售
Gausium国内商综清洁履历,高仙机器人/Gausium,万达/龙湖/宝龙/华润/金鹰等,商业综合体/零售场清洁,中国,门店数量未披露,是,持续运营/公司披露,官方案例,B,https://www.gs-robot.com/case/%E5%AE%9E%E7%8E%B0%E9%AB%98%E6%95%88%E6%B4%81%E5%87%80%EF%BC%9A%E9%AB%98%E4%BB%99%E5%95%86%E7%94%A8%E6%B8%85%E6%B4%81%E6%9C%BA%E5%99%A8%E4%BA%BA%E5%9C%A8%E8%A5%BF%E7%8F%AD%E7%89%99%E5%A5%A5%E7%89%B9/,2026-01-19,2026-05-26,中,官方海外案例中披露Scrubber 50履历覆盖国内商综客户 需客户侧核验
Galbot北京智慧药店常态运营,银河通用,北京智慧药店/零售合作方未披露,智慧药店/商超值守/商品抓取,中国北京,近10家门店常态运营/100家门店订单,unknown,常态运营+订单,媒体报道,C,https://www.stcn.com/article/detail/2763707.html,2025-07-27,2026-05-26,中,100家为订单和计划投用 近10家常态运营为报道披露
Deep Robotics与华电电科院巡检方案,云深处科技,华电电力科学研究院,火电厂巡检,中国,全场景巡检方案,unknown,方案发布/试点,新闻稿,C,https://www.globenewswire.com/news-release/2026/03/06/3250801/0/en/deep-robotics-chder-launch-full-scenario-robot-inspection-solution-empowering-safe-and-efficient-thermal-power-operations.html,2026-03-06,2026-05-26,中,合同与规模需核验
Standard Robots半导体AMR案例,斯坦德机器人,环旭电子等,半导体工厂物流,中国/海外,多项目经验/媒体报道,是,持续运营,媒体报道,C,https://finance.sina.com.cn/wm/2026-05-13/doc-inhxteis9480018.shtml,2026-05-13,2026-05-26,中,媒体披露客户案例
Mech-Mind汽车在线检测案例,梅卡曼德机器人,汽车产线客户,工业视觉检测,unknown,产线级应用,是,持续运营,官网新闻,B,https://www.mech-mind.com/,2025-12-15,2026-05-26,中,需补客户名称
ANYmal工业巡检,ANYbotics,能源/化工/矿业客户,工业巡检,全球,规模商用,是,持续运营,官网产品页,B,https://www.anybotics.com/robotics/,unknown,2026-05-26,高,四足巡检成熟场景
Amazon fulfillment robotics,Amazon Robotics,Amazon,电商仓储自动化,全球履约中心,百万级机器人体系,内部部署,持续运营,公司新闻,A,https://www.aboutamazon.com/news/operations/amazon-robotics-robots-fulfillment-center,2025-10-22,2026-05-26,高,规模化标杆
Sam's Club近600台清洁和库存扫描机器人,Brain Corp,Sam's Club/Tennant,会员仓储门店清洁+库存扫描,美国和波多黎各Sam's Club门店,近600台/全链部署,是,持续运营/客户公告,客户公告,A,https://corporate.walmart.com/about/samsclub/news/2022/10/20/sams-club-finalizes-national-deployment-of-inventory-scan-brain-corp-becomes-the-worlds-largest-supplier-of-robotic-inventory-scanners,2022-10-20,2026-05-26,高,客户侧披露近600个Inventory Scan塔加装到既有清洁机器人
Simbe Tally零售货架智能,Simbe Robotics,全球零售商,零售货架扫描/库存智能,多国门店,10个国家/近12个零售细分/长期部署,是,持续运营,官网新闻,B,https://www.simberobotics.com/about/newsroom/simbe-marks-10-years-of-tally-the-robot,2025-11-12,2026-05-26,高,多年运营证据 包括Schnucks BJ's Wakefern SpartanNash等客户
