case_name,company_name,customer_or_partner,scenario,location,deployment_scale,paid_status,ongoing_status,evidence_type,source_level,source_url,source_date,last_checked,confidence,notes
Digit在GXO/SPANX物流设施RaaS部署,Agility Robotics,GXO Logistics/SPANX,仓储物流搬运,美国佐治亚,多年度部署,是,持续运营/公司披露,官网新闻,B,https://www.agilityrobotics.com/content/digit-deployed-at-gxo-in-historic-humanoid-raas-agreement,2024-06-27,2026-05-26,高,当前公开证据较强的付费人形机器人部署
Apollo进入Mercedes-Benz制造试点,Apptronik,Mercedes-Benz,汽车制造物流供料,Mercedes-Benz制造设施,试点规模未披露,unknown,试点,官网新闻,B,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,2024-03-15,2026-05-26,中,商业协议明确但规模和付费结构未披露
Figure 02在BMW Spartanburg试验,BMW Group/Figure AI,BMW Group,汽车制造零件搬运,美国南卡Spartanburg,试验部署,unknown,阶段性试验,客户公告,A,https://www.bmwgroup.com/en/news/general/2024/humanoid-robots.html,2024-08-06,2026-05-26,中,BMW确认试验；后续持续性需跟踪
Walker S系列工业场景小批量合同,优必选,客户未披露,工业搬运/分拣/质检,中国,小批量采购合同,是,商业应用初期,中期报告,A,https://owebsite-cdn.ubtrobot.com/resources/file/2025/09/16/720367161532485.pdf,2025-09-16,2026-05-26,高,上市公司文件披露但客户名称隐藏
Galbot G1零售货架抓取展示,银河通用,零售业态合作伙伴,无人零售/药店取货,中国,试点/计划开设100家店,unknown,计划扩张,媒体报道,C,https://cn.chinadaily.com.cn/a/202506/09/WS6846952da3102053770372d4.html,2025-06-09,2026-05-26,中,自主抓取能力展示清晰；商业付费需核验
Pudu服务机器人全球部署,普渡机器人,酒店/餐饮/工业客户,配送/清洁/工业物流,全球,12万台以上出货/官网披露,是,持续运营,官网,B,https://www.pudurobotics.com/,2026-05-20,2026-05-26,高,服务机器人商业化成熟；具身AI新品另行跟踪
Keenon服务机器人餐饮酒店部署,擎朗智能,餐饮酒店客户,配送/清洁/服务,全球,多产品线商用,是,持续运营,官网,B,https://www.keenon.com/en/index.html,2026-03-26,2026-05-26,高,服务机器人落地明确；人形产品需单独验证
Deep Robotics与华电电科院巡检方案,云深处科技,华电电力科学研究院,火电厂巡检,中国,全场景巡检方案,unknown,方案发布/试点,新闻稿,C,https://www.globenewswire.com/news-release/2026/03/06/3250801/0/en/deep-robotics-chder-launch-full-scenario-robot-inspection-solution-empowering-safe-and-efficient-thermal-power-operations.html,2026-03-06,2026-05-26,中,场景真实但合同与规模需核验
Standard Robots半导体AMR案例,斯坦德机器人,环旭电子等,半导体工厂物流,中国/海外,多项目经验/媒体报道,是,持续运营,媒体报道,C,https://finance.sina.com.cn/wm/2026-05-13/doc-inhxteis9480018.shtml,2026-05-13,2026-05-26,中,客户和400台键合机配送信息来自媒体报道
Mech-Mind汽车在线检测案例,梅卡曼德机器人,汽车产线客户,工业视觉检测,unknown,产线级应用,是,持续运营,官网新闻,B,https://www.mech-mind.com/,2025-12-15,2026-05-26,中,需要补充单独案例页和客户名称
ANYmal工业巡检,ANYbotics,能源/化工/矿业客户,工业巡检,全球,规模商用,是,持续运营,官网产品页,B,https://www.anybotics.com/robotics/,unknown,2026-05-26,高,四足巡检代表性成熟场景
Amazon fulfillment robotics,Amazon Robotics,Amazon,电商仓储自动化,全球履约中心,百万级机器人体系,内部部署,持续运营,公司新闻,A,https://www.aboutamazon.com/news/operations/amazon-robotics-robots-fulfillment-center,2025-10-22,2026-05-26,高,规模化标杆但为企业内部闭环
Simbe Tally零售货架智能,Simbe Robotics,全球零售商,零售货架扫描/库存智能,多国门店,长期部署/全链部署,是,持续运营,官网新闻,B,https://www.simberobotics.com/about/newsroom/simbe-marks-10-years-of-tally-the-robot,2025-11-18,2026-05-26,高,具备多年运营指标和零售场景验证
Boston Dynamics Atlas Hyundai测试,Boston Dynamics,Hyundai,汽车制造排序任务,Hyundai设施,客户设施测试,unknown,测试中,官网产品页,B,https://bostondynamics.com/products/atlas/,2026-01-05,2026-05-26,中,Atlas开始客户设施任务测试；量产部署未完成
1X NEO家庭早期用户预售,1X Technologies,早期家庭用户,家庭服务,美国等,预售/早期交付待确认,是/预售,待交付,官网新闻,B,https://www.1x.tech/discover/neo-home-robot,2025-10-28,2026-05-26,中,家庭场景重要但当前更接近预售而非稳定落地
