company_name,country_or_region,category,main_products,target_scenarios,technology_route,financing_or_listing_status,disclosed_customers,deployment_status,source_level,source_type,source_url,source_date,last_checked,confidence,notes
Figure AI,美国,本体厂商,Figure 02；Helix,汽车制造；物流；家庭,人形机器人；VLA；遥操作数据；大规模预训练,未上市；多轮融资,BMW；Brookfield合作披露,L1/L2试点验证,C,客户公告,https://www.bmwgroup.com/en/news/general/2024/humanoid-robots.html,2024-08-06,2026-05-26,中,BMW确认生产试验；规模化和收入确认仍需谨慎
Agility Robotics,美国,本体厂商,Digit,仓储物流；制造,双足人形；RaaS；物流搬运,未上市,GXO；Spanx,L2小批量商用/RaaS,B,官网新闻,https://www.agilityrobotics.com/content/digit-deployed-at-gxo-in-historic-humanoid-raas-agreement,2024-06-27,2026-05-26,高,公开多年度RaaS协议；是当前较明确的付费场景样本
Apptronik,美国,本体厂商,Apollo,汽车制造；物流；工业服务,人形机器人；模块化执行器；Gemini Robotics合作,未上市,Mercedes-Benz,L1/L2商业试点,B,官网新闻,https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement,2024-03-15,2026-05-26,中,Mercedes-Benz合作为商业试点；付费和部署规模需补充
1X Technologies,挪威/美国,本体厂商,NEO；NEO Gamma；EVE,家庭服务；安防；数据采集,柔性人形；Redwood AI；远程协助/学习,未上市；多轮融资,家庭早期用户,L1预售/家庭测试,B,官网新闻,https://www.1x.tech/discover/neo-home-robot,2025-10-28,2026-05-26,中,NEO预售明确；家庭真实使用效果仍需跟踪
Sanctuary AI,加拿大,本体厂商,Phoenix；Carbon AI,工业服务；多行业劳动任务,人形机器人；通用控制系统；遥操作/学习,未上市,Magna等生态伙伴,L1早期商业部署/公司自述,B,官网新闻,https://www.sanctuary.ai/blog/sanctuary-ai-unveils-phoenix-a-humanoid-general-purpose-robot-designed-for-work,unknown,2026-05-26,中,公司披露已完成首次商业部署；客户任务细节需继续核验
Tesla Optimus,美国,本体厂商,Optimus,汽车制造；未来家庭服务,人形机器人；视觉感知；车企制造链协同,上市公司内部项目,Tesla内部工厂,L1内部试点,B,官网产品页,https://www.tesla.com/AI,unknown,2026-05-26,中,产品路线明确但外部客户和量产节奏需谨慎
Boston Dynamics,美国,本体厂商,Atlas；Spot；Stretch,制造；物流；巡检；研究,动态机器人控制；全电Atlas；移动机器人,Hyundai旗下,Hyundai,L2产品化试点/Spot规模商用,B,官网产品页,https://bostondynamics.com/products/atlas/,2026-01-05,2026-05-26,高,Atlas进入Hyundai真实任务测试；Spot已是成熟商业产品
NEURA Robotics,德国,本体厂商/平台,4NE1；MiPA；MAiRA,工业协作；家庭服务；科研教育,认知机器人；协作安全；边缘AI,未上市；多轮融资,工业伙伴需逐项核验,L1预订/试点,B,官网产品页,https://neura-robotics.com/products/4ne1/,unknown,2026-05-26,中,4NE1产品信息明确；实际交付和客户需跟踪
PAL Robotics,西班牙,本体厂商,TALOS；Kangaroo；TIAGo,科研；教育；工业研究,ROS生态；研究型人形/服务机器人,未上市,高校和研究机构,L2科研平台商用,B,官网产品页,https://pal-robotics.com/robot/talos/,unknown,2026-05-26,高,研究平台成熟；不是规模化通用商用机器人
ANYbotics,瑞士,本体厂商,ANYmal,能源；化工；矿业；工业巡检,四足机器人；自主巡检；防爆场景,未上市,工业客户需逐项核验,L3工业巡检商用,B,官网产品页,https://www.anybotics.com/robotics/,unknown,2026-05-26,高,四足巡检是商业化最清晰的具身机器人场景之一
